,icao24,callsign,origin_country,long,lat,baro_altitude,on_ground,velocity,true_track,vertical_rate,geo_altitude,time,callsign_carrier,carrier_company,carrier_type,manufacturericao,model,icaoaircrafttype,model_no_stripped,avg_no_seats,coord,city_name,reg_admin1,reg_admin2,country_cc
0,e49406,GLO1620,Brazil,-45.5163,-22.2933,9982.2,False,242.8,35.34,0.0,10622.28,1656442561,GLO,Gol Linhas Aéreas,B,,,,,198.00000000000003,"(-22.2933, -45.5163)",Itajuba,Minas Gerais,Itajuba,BR
1,4b1815,SWR983,Switzerland,9.4549,48.824,8778.24,False,193.53,212.3,-6.83,9212.58,1656442561,SWR,Swiss,P,AIRBUS,A320-271N,L2J,A320,164.0,"(48.824, 9.4549)",Winterbach,Baden-Wuerttemberg,Regierungsbezirk Stuttgart,DE
2,4b1816,SWR341Z,Switzerland,24.6402,38.1736,11582.4,False,221.94,324.91,-0.33,12153.9,1656442561,SWR,Swiss,P,,,,,180.0,"(38.1736, 24.6402)",Karystos,Central Greece,Nomos Evvoias,GR
3,ab1644,UAL2141,United States,-103.5094,39.1976,7071.36,False,206.36,301.23,-10.4,7505.7,1656442561,UAL,United Airlines,U,AIRBUS INDUSTRIE,A319-131,L2J,A319,179.0,"(39.1976, -103.5094)",Hugo,Colorado,Lincoln County,US
4,a09281,,United States,-84.9997,34.2677,914.4,False,43.47,140.28,-0.98,1013.46,1656442561,,FlyMontserrat,P,CESSNA,172M,,172M,4.0,"(34.2677, -84.9997)",Shannon,Georgia,Floyd County,US
5,a09281,,United States,-84.9997,34.2677,914.4,False,43.47,140.28,-0.98,1013.46,1656442561,,Lulutai Airlines,P,CESSNA,172M,,172M,4.0,"(34.2677, -84.9997)",Shannon,Georgia,Floyd County,US
6,aa56db,UAL1455,United States,-94.2955,42.1216,11590.02,False,203.36,277.41,0.0,11978.64,1656442561,UAL,United Airlines,U,BOEING,737-824,L2J,737-8,149.0,"(42.1216, -94.2955)",Jefferson,Iowa,Greene County,US
7,a2e5ec,,United States,-120.0129,46.4725,6278.88,False,178.79,288.28,9.43,6484.62,1656442561,,FlyMontserrat,P,EMBRAER S A,ERJ 170-200 LL,,ERJ-170,88.0,"(46.4725, -120.0129)",Sunnyside,Washington,Yakima County,US
8,a2e5ec,,United States,-120.0129,46.4725,6278.88,False,178.79,288.28,9.43,6484.62,1656442561,,Lulutai Airlines,P,EMBRAER S A,ERJ 170-200 LL,,ERJ-170,88.0,"(46.4725, -120.0129)",Sunnyside,Washington,Yakima County,US
9,4b1813,SWR69KC,Switzerland,7.9457,47.1311,4343.4,False,160.63,52.29,-5.2,4572.0,1656442561,SWR,Swiss,P,AIRBUS,A320-271N,L2J,A320,164.0,"(47.1311, 7.9457)",Zell,Lucerne,Willisau District,CH
10,abd9d9,SWA1726,United States,-110.9129,34.2638,11582.4,False,212.59,227.16,-9.43,7871.46,1656442561,SWA,Southwest Airlines,B,BOEING,737-8H4,L2J,737-8,154.0,"(34.2638, -110.9129)",Star Valley,Arizona,Gila County,US
