,country,net_passengers
0,AD,80.0
1,AE,-3540.5999999999913
2,AL,1913.5
3,AR,1985.6000000000004
4,AT,6748.299999999996
5,AU,19232.100000000035
6,AW,560.0
7,AX,163.9
8,BA,1233.4999999999995
9,BB,220.0
10,BD,-1520.0
11,BE,205.3000000000029
12,BG,3190.7000000000025
13,BH,3782.000000000001
14,BM,207.0
15,BN,291.0
16,BR,19148.099999999984
17,BS,-550.0999999999999
18,BY,-308.0
19,CA,-13046.900000000016
20,CH,-9292.7
21,CN,-3321.300000000003
22,CO,5599.1
23,CR,-69.0
24,CY,3053.8
25,CZ,2061.300000000003
26,DE,35031.20000000013
27,DK,888.0000000000073
28,DO,1996.3000000000002
29,DZ,-1450.5999999999995
30,EC,435.0
31,EE,166.30000000000018
32,EG,299.20000000000005
33,ES,31715.10000000015
34,FI,1413.5
35,FR,23354.10000000021
36,GB,-3872.5999999998603
37,GE,-295.9999999999999
38,GG,1352.1999999999998
39,GR,3539.300000000003
40,GT,436.6
41,HK,-901.2999999999993
42,HN,-83.6
43,HR,765.7999999999993
44,HU,2886.399999999998
45,ID,348.0000000000002
46,IE,-7553.299999999988
47,IL,-5062.9
48,IM,-321.7000000000003
49,IN,8568.299999999988
50,IR,-1387.5
51,IS,-556.0
52,IT,23020.00000000006
53,JE,-1451.1999999999998
54,JO,700.5999999999999
55,JP,34538.89999999998
56,KP,-416.9
57,KR,16166.099999999984
58,KZ,659.8
59,LB,434.0
60,LK,312.0
61,LT,1672.6999999999998
62,LU,-558.4999999999995
63,LV,1063.7000000000007
64,MA,1831.8999999999996
65,MC,282.0
66,MD,1518.0
67,ME,751.4000000000001
68,MK,591.6000000000001
69,MN,-785.0
70,MQ,-46.0
71,MX,883.4000000000015
72,MY,19751.50000000002
73,NL,8862.299999999974
74,NO,5165.100000000002
75,NZ,3515.800000000001
76,OM,709.0999999999999
77,PA,2500.6000000000004
78,PE,-283.5
79,PF,-6.600000000000023
80,PH,2015.0
81,PK,-227.39999999999986
82,PL,9945.099999999999
83,PR,-4131.900000000001
84,PS,7994.200000000001
85,PT,2226.7000000000044
86,QA,-6558.5
87,RO,4162.600000000002
88,RS,1973.0000000000018
89,RU,4430.799999999988
90,SA,21511.8
91,SE,-2439.399999999998
92,SG,9616.8
93,SI,-163.0
94,SK,112.79999999999927
95,SV,389.9
96,TC,120.70000000000005
97,TH,11601.40000000003
98,TR,15755.99999999997
99,TW,713.3000000000029
100,US,570.1999999997206
101,UY,185.0
102,VC,-154.0
103,VE,154.0
104,VN,10432.3
105,XK,-447.29999999999995
106,ZA,2514.7999999999993
